t,true_value,signal,bid,ask,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
269,24.632944,19.251782,18.251782,20.251782,none,0.000000,13,-469.893592,-149.665319,1.690000,-151.355319
270,24.646370,29.379120,28.379120,30.379120,sell_to_mm,28.379120,14,-498.272712,-153.223530,1.960000,-155.183530
271,24.061139,26.513078,25.513078,27.513078,sell_to_mm,25.513078,15,-523.785790,-162.868710,2.250000,-165.118710
272,22.210216,23.016477,22.016477,24.016477,none,0.000000,15,-523.785790,-190.632547,2.250000,-192.882547
273,22.566213,26.210777,25.210777,27.210777,sell_to_mm,25.210777,16,-548.996566,-187.937152,2.560000,-190.497152
274,21.713659,31.698334,30.698334,32.698334,none,0.000000,16,-548.996566,-201.578027,2.560000,-204.138027
275,22.118749,28.524164,27.524164,29.524164,none,0.000000,16,-548.996566,-195.096578,2.560000,-197.656578
276,21.421889,23.339481,22.339481,24.339481,sell_to_mm,22.339481,17,-571.336047,-207.163926,2.890000,-210.053926
277,20.684063,18.107498,17.107498,19.107498,buy_from_mm,19.107498,16,-552.228550,-221.283544,2.560000,-223.843544
278,20.426773,15.048654,14.048654,16.048654,buy_from_mm,16.048654,15,-536.179896,-229.778303,2.250000,-232.028303
279,20.300452,26.597761,25.597761,27.597761,buy_from_mm,27.597761,14,-508.582134,-224.375813,1.960000,-226.335813
280,18.798368,17.126215,16.126215,18.126215,buy_from_mm,18.126215,13,-490.455919,-246.077136,1.690000,-247.767136
281,20.286171,18.227268,17.227268,19.227268,none,0.000000,13,-490.455919,-226.735698,1.690000,-228.425698
282,19.747295,12.388318,11.388318,13.388318,none,0.000000,13,-490.455919,-233.741079,1.690000,-235.431079
283,20.070091,13.859793,12.859793,14.859793,sell_to_mm,12.859793,14,-503.315712,-222.334433,1.960000,-224.294433
284,18.331893,22.472155,21.472155,23.472155,none,0.000000,14,-503.315712,-246.669207,1.960000,-248.629207
285,17.405460,16.495749,15.495749,17.495749,none,0.000000,14,-503.315712,-259.639272,1.960000,-261.599272
286,17.028777,13.897459,12.897459,14.897459,sell_to_mm,12.897459,15,-516.213171,-260.781512,2.250000,-263.031512
287,14.367512,18.114379,17.114379,19.114379,sell_to_mm,17.114379,16,-533.327550,-303.447362,2.560000,-306.007362
288,14.821417,22.486929,21.486929,23.486929,sell_to_mm,21.486929,17,-554.814480,-302.850385,2.890000,-305.740385
289,15.433947,11.423154,10.423154,12.423154,none,0.000000,17,-554.814480,-292.437387,2.890000,-295.327387
290,15.160657,13.651983,12.651983,14.651983,buy_from_mm,14.651983,16,-540.162496,-297.591986,2.560000,-300.151986
291,16.263381,24.205438,23.205438,25.205438,none,0.000000,16,-540.162496,-279.948404,2.560000,-282.508404
