t,true_value,signal,bid,ask,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1647,59.058225,60.600242,59.100242,62.100242,none,0.000000,15,-83.462840,802.410531,2.250000,800.160531
1648,58.187570,59.672932,58.172932,61.172932,none,0.000000,15,-83.462840,789.350715,2.250000,787.100715
1649,57.706327,57.270499,55.770499,58.770499,sell_to_mm,55.770499,16,-139.233339,784.067901,2.560000,781.507901
1650,59.303258,60.180618,58.680618,61.680618,none,0.000000,16,-139.233339,809.618782,2.560000,807.058782
1651,59.020119,62.474721,60.974721,63.974721,none,0.000000,16,-139.233339,805.088557,2.560000,802.528557
1652,59.973987,58.944979,57.444979,60.444979,none,0.000000,16,-139.233339,820.350459,2.560000,817.790459
1653,59.439160,59.640630,58.140630,61.140630,sell_to_mm,58.140630,17,-197.373969,813.091752,2.890000,810.201752
1654,58.301365,59.059210,57.559210,60.559210,none,0.000000,17,-197.373969,793.749231,2.890000,790.859231
1655,60.062647,58.713871,57.213871,60.213871,none,0.000000,17,-197.373969,823.691031,2.890000,820.801031
1656,62.229067,62.712737,61.212737,64.212737,none,0.000000,17,-197.373969,860.520178,2.890000,857.630178
1657,62.340574,61.795375,60.295375,63.295375,none,0.000000,17,-197.373969,862.415789,2.890000,859.525789
1658,62.897080,60.854315,59.354315,62.354315,buy_from_mm,62.354315,16,-135.019654,871.333630,2.560000,868.773630
1659,63.733430,65.751245,64.251245,67.251245,sell_to_mm,64.251245,17,-199.270899,884.197410,2.890000,881.307410
1660,63.964449,64.349737,62.849737,65.849737,none,0.000000,17,-199.270899,888.124728,2.890000,885.234728
1661,64.322457,64.465516,62.965516,65.965516,none,0.000000,17,-199.270899,894.210871,2.890000,891.320871
1662,63.314532,62.122974,60.622974,63.622974,none,0.000000,17,-199.270899,877.076148,2.890000,874.186148
1663,63.173484,62.315437,60.815437,63.815437,none,0.000000,17,-199.270899,874.678335,2.890000,871.788335
1664,62.394519,60.685007,59.185007,62.185007,buy_from_mm,62.185007,16,-137.085892,861.226414,2.560000,858.666414
1665,61.218840,62.740230,61.240230,64.240230,sell_to_mm,61.240230,17,-198.326121,842.394166,2.890000,839.504166
1666,61.919524,61.539429,60.039429,63.039429,buy_from_mm,63.039429,16,-135.286692,855.425685,2.560000,852.865685
1667,61.718557,62.354938,60.854938,63.854938,none,0.000000,16,-135.286692,852.210215,2.560000,849.650215
1668,61.286026,61.462109,59.962109,62.962109,none,0.000000,16,-135.286692,845.289720,2.560000,842.729720
1669,61.767440,62.247300,60.747300,63.747300,buy_from_mm,63.747300,15,-71.539392,854.972215,2.250000,852.722215
1670,62.946051,64.881959,63.381959,66.381959,none,0.000000,15,-71.539392,872.651368,2.250000,870.401368
1671,62.725957,60.791702,59.291702,62.291702,none,0.000000,15,-71.539392,869.349962,2.250000,867.099962
1672,62.566011,62.997000,61.497000,64.497000,none,0.000000,15,-71.539392,866.950776,2.250000,864.700776
1673,62.010792,61.138877,59.638877,62.638877,none,0.000000,15,-71.539392,858.622487,2.250000,856.372487
1674,61.260793,62.680470,61.180470,64.180470,none,0.000000,15,-71.539392,847.372496,2.250000,845.122496
