file,strategy,noise,run,final_pnl,final_risk_adj_pnl,max_abs_inventory,num_trades,avg_edge_per_trade
data/fixed_noise_2_run_9.csv,fixed,2.0,9,-12.070651,-23.630651,41,868,-0.3778648398617508
data/fixed_noise_4_run_1.csv,fixed,4.0,1,-1615.988985,-1621.748985,39,994,-1.5218300995975858
data/fixed_noise_4_run_10.csv,fixed,4.0,10,-865.356481,-865.516481,36,1016,-1.6914825797244106
data/fixed_noise_4_run_11.csv,fixed,4.0,11,-876.597622,-882.847622,27,981,-1.4467523557594302
data/fixed_noise_4_run_12.csv,fixed,4.0,12,-1174.565122,-1174.925122,20,1000,-1.479809357000001
data/fixed_noise_4_run_13.csv,fixed,4.0,13,-909.760826,-927.400826,57,960,-1.472689929166665
data/fixed_noise_4_run_14.csv,fixed,4.0,14,-1399.210846,-1401.770846,33,980,-1.5997274153061232
data/fixed_noise_4_run_15.csv,fixed,4.0,15,-536.294609,-544.704609,40,1031,-1.4759022570320066
data/fixed_noise_4_run_16.csv,fixed,4.0,16,-2868.514405,-2891.554405,59,1008,-1.5613576666666686
data/fixed_noise_4_run_17.csv,fixed,4.0,17,-2181.956039,-2185.956039,32,1016,-1.583816559055118
data/fixed_noise_4_run_18.csv,fixed,4.0,18,-1087.606661,-1096.016661,44,1023,-1.531083789833822
data/fixed_noise_4_run_19.csv,fixed,4.0,19,-1185.818202,-1187.258202,39,1028,-1.4671945243190674
data/fixed_noise_4_run_2.csv,fixed,4.0,2,-1076.515573,-1076.675573,32,992,-1.447880808467741
data/fixed_noise_4_run_20.csv,fixed,4.0,20,-2283.907275,-2284.717275,36,989,-1.413626665318502
data/fixed_noise_4_run_21.csv,fixed,4.0,21,-1968.707937,-1971.267937,22,978,-1.4441030040899814
data/fixed_noise_4_run_22.csv,fixed,4.0,22,-1177.694173,-1190.654173,37,996,-1.529883136546184
data/fixed_noise_4_run_23.csv,fixed,4.0,23,-1695.503821,-1695.993821,18,1025,-1.424720509268292
data/fixed_noise_4_run_24.csv,fixed,4.0,24,-12.927308,-46.567308,66,998,-1.4359256943887755
data/fixed_noise_4_run_25.csv,fixed,4.0,25,-1595.668282,-1597.358282,33,1037,-1.423467372227581
data/fixed_noise_4_run_26.csv,fixed,4.0,26,-1096.08205,-1096.72205,25,1024,-1.3933861152343738
data/fixed_noise_4_run_27.csv,fixed,4.0,27,-1306.389629,-1307.829629,22,998,-1.556733887775553
data/fixed_noise_4_run_28.csv,fixed,4.0,28,-2518.664484,-2563.554484,69,1029,-1.5075120602526715
data/fixed_noise_4_run_29.csv,fixed,4.0,29,-2640.800637,-2641.610637,36,989,-1.466061065722952
data/fixed_noise_4_run_3.csv,fixed,4.0,3,-3661.005166,-3707.245166,86,1002,-1.48537107684631
data/fixed_noise_4_run_30.csv,fixed,4.0,30,-1301.087307,-1309.497307,33,1009,-1.4685227552031705
data/fixed_noise_4_run_31.csv,fixed,4.0,31,-2202.653321,-2211.063321,36,1015,-1.4654580926108378
data/fixed_noise_4_run_32.csv,fixed,4.0,32,-1179.261298,-1185.021298,40,1010,-1.6244800396039594
data/fixed_noise_4_run_33.csv,fixed,4.0,33,-1185.262139,-1189.672139,30,1025,-1.4012564936585354
data/fixed_noise_4_run_34.csv,fixed,4.0,34,-1287.677253,-1326.117253,64,1022,-1.4199395675146766
data/fixed_noise_4_run_35.csv,fixed,4.0,35,-1149.279008,-1154.569008,44,1039,-1.5828067632338771
data/fixed_noise_4_run_36.csv,fixed,4.0,36,-783.352777,-786.962777,24,1003,-1.4279307577268212
data/fixed_noise_4_run_37.csv,fixed,4.0,37,-1832.795604,-1832.885604,19,951,-1.6320087507886445
data/fixed_noise_4_run_38.csv,fixed,4.0,38,-1590.84955,-1591.20955,45,994,-1.480017961770625
data/fixed_noise_4_run_39.csv,fixed,4.0,39,-1760.471566,-1761.681566,19,1025,-1.4525203775609736
data/fixed_noise_4_run_4.csv,fixed,4.0,4,-1168.300271,-1169.110271,15,1029,-1.230543319727892
data/fixed_noise_4_run_40.csv,fixed,4.0,40,-2205.192559,-2223.682559,60,1015,-1.6179870896551716
data/fixed_noise_4_run_41.csv,fixed,4.0,41,-1221.876743,-1234.836743,53,1034,-1.3732629235976794
data/fixed_noise_4_run_42.csv,fixed,4.0,42,211.340786,205.580786,48,988,-1.2412966801619427
data/fixed_noise_4_run_43.csv,fixed,4.0,43,-1817.180833,-1821.590833,23,1001,-1.5396126353646329
data/fixed_noise_4_run_44.csv,fixed,4.0,44,-4459.224651,-4468.224651,48,992,-1.5532893316532264
data/fixed_noise_4_run_45.csv,fixed,4.0,45,-822.311146,-822.671146,30,1034,-1.4210695357833647
data/fixed_noise_4_run_46.csv,fixed,4.0,46,-1238.754417,-1244.044417,32,1009,-1.4055929920713568
data/fixed_noise_4_run_47.csv,fixed,4.0,47,-1300.800055,-1303.690055,19,1009,-1.5755752408325068
data/fixed_noise_4_run_48.csv,fixed,4.0,48,-401.517645,-404.757645,30,996,-1.6880921204819308
data/fixed_noise_4_run_49.csv,fixed,4.0,49,-811.888731,-820.298731,44,1035,-1.5482336280193236
data/fixed_noise_4_run_5.csv,fixed,4.0,5,-1529.035555,-1529.195555,30,994,-1.3806885553319936
data/fixed_noise_4_run_50.csv,fixed,4.0,50,-1490.143845,-1496.393845,28,991,-1.412256122098889
